s_no,source,direction,alpha,z0
1,windographer,N,0.19,0.422784
2,windographer,NNE,0.102,0.004688
3,windographer,NE,0.038,0
4,windographer,ENE,0.072,6.7e-5
5,windographer,E,0.158,0.142519
6,windographer,ESE,0.205,0.613553
7,windographer,SE,0.322,3.573364
8,windographer,SSE,0.21,0.664532
9,windographer,S,0.038,0
10,windographer,SSW,0.028,0
11,windographer,SW,0.132,0.044099
12,windographer,WSW,0.246,1.356651
13,windographer,W,0.229,0.988063
14,windographer,WNW,0.137,0.053205
15,windographer,NW,0.215,0.75979
16,windographer,NNW,0.195,0.485078
17,shear,N,0.190053,0.422784
18,shear,NNE,0.102429,0.004688
19,shear,NE,0.037785,0
20,shear,ENE,0.071681,6.7e-5
21,shear,E,0.158045,0.142518
22,shear,ESE,0.20474,0.613555
23,shear,SE,0.322461,3.573365
24,shear,SSE,0.209584,0.664532
25,shear,S,0.037574,0
26,shear,SSW,0.028356,0
27,shear,SW,0.131643,0.044099
28,shear,WSW,0.246058,1.356653
29,shear,W,0.228846,0.988063
30,shear,WNW,0.137117,0.053205
31,shear,NW,0.214809,0.759792
32,shear,NNW,0.195485,0.485079
